x,rho,vx,P,E
5.00000000e-03,9.99999734e-01,3.43233747e-07,9.99999557e-01,1.49992434e+00
1.50000000e-02,1.00000006e+00,-7.63536339e-08,1.00000010e+00,1.49992515e+00
2.50000000e-02,1.00000197e+00,-2.53992211e-06,1.00000328e+00,1.49992992e+00
3.50000000e-02,1.00000208e+00,-2.67891109e-06,1.00000346e+00,1.49993019e+00
4.50000000e-02,9.99988890e-01,1.43431495e-05,9.99981483e-01,1.49989723e+00
5.50000000e-02,9.99982584e-01,2.24847807e-05,9.99970972e-01,1.49988146e+00
6.50000000e-02,1.00004489e+00,-5.79558729e-05,1.00007482e+00,1.50003723e+00
7.50000000e-02,1.00011416e+00,-1.47376984e-04,1.00019028e+00,1.50021041e+00
8.50000000e-02,9.99972208e-01,3.58834178e-05,9.99953695e-01,1.49985555e+00
9.50000000e-02,9.99655781e-01,4.44423003e-04,9.99426380e-01,1.49906472e+00
1.05000000e-01,9.99500753e-01,6.44604471e-04,9.99168134e-01,1.49867747e+00
1.15000000e-01,1.00043670e+00,-5.64061837e-04,1.00072819e+00,1.50101739e+00
1.25000000e-01,1.00160244e+00,-2.06804335e-03,1.00267272e+00,1.50393602e+00
1.35000000e-01,1.00212721e+00,-2.74611347e-03,1.00354943e+00,1.50525267e+00
1.45000000e-01,9.97682645e-01,2.99682239e-03,9.96145594e-01,1.49414816e+00
1.55000000e-01,9.92452876e-01,9.75897515e-03,9.87463411e-01,1.48116832e+00
1.65000000e-01,9.89475116e-01,1.36259180e-02,9.82547425e-01,1.47383931e+00
1.75000000e-01,1.00579459e+00,-7.54944921e-03,1.00972520e+00,1.51454073e+00
1.85000000e-01,1.02609413e+00,-3.34631469e-02,1.04394952e+00,1.56642048e+00
1.95000000e-01,1.04083607e+00,-5.21551165e-02,1.06913524e+00,1.60503830e+00
2.05000000e-01,1.05093289e+00,-6.48709622e-02,1.08655166e+00,1.63195730e+00
2.15000000e-01,1.03925991e+00,-5.00876267e-02,1.06648751e+00,1.60095491e+00
2.25000000e-01,1.01046949e+00,-1.34407545e-02,1.01753669e+00,1.52632000e+00
2.35000000e-01,9.82792870e-01,2.23200893e-02,9.71386340e-01,1.45725147e+00
2.45000000e-01,9.56200147e-01,5.74993853e-02,9.27867707e-01,1.39331266e+00
2.55000000e-01,9.30373636e-01,9.22499987e-02,8.86399402e-01,1.33349139e+00
2.65000000e-01,9.05270427e-01,1.26629621e-01,8.46678834e-01,1.27721279e+00
2.75000000e-01,8.80793924e-01,1.60924226e-01,8.08723271e-01,1.22442904e+00
2.85000000e-01,8.56763193e-01,1.95022913e-01,7.72174798e-01,1.17449733e+00
2.95000000e-01,8.33186001e-01,2.29089729e-01,7.37073392e-01,1.12741849e+00
3.05000000e-01,8.10184858e-01,2.63101699e-01,7.03290213e-01,1.08292409e+00
3.15000000e-01,7.87559180e-01,2.97089088e-01,6.70781715e-01,1.04087801e+00
3.25000000e-01,7.65457973e-01,3.31074395e-01,6.39512578e-01,1.00117193e+00
3.35000000e-01,7.43468134e-01,3.65057544e-01,6.09439928e-01,9.63654074e-01
3.45000000e-01,7.22445588e-01,3.98987105e-01,5.80488593e-01,9.28192667e-01
3.55000000e-01,7.01503088e-01,4.32864398e-01,5.52631655e-01,8.94626911e-01
3.65000000e-01,6.80756638e-01,4.66721978e-01,5.25891904e-01,8.62942823e-01
3.75000000e-01,6.60772628e-01,5.00659490e-01,5.00317828e-01,8.33253828e-01
