x,rho,vx,P,E
2.50000000e-03,9.99999000e-01,1.29055277e-06,9.99998334e-01,1.49992250e+00
7.50000000e-03,1.00000146e+00,-1.88999243e-06,1.00000244e+00,1.49992866e+00
1.25000000e-02,1.00000263e+00,-3.39145467e-06,1.00000438e+00,1.49993157e+00
1.75000000e-02,9.99997431e-01,3.31621960e-06,9.99995719e-01,1.49991858e+00
2.25000000e-02,9.99992863e-01,9.21427329e-06,9.99988104e-01,1.49990716e+00
2.75000000e-02,1.00000437e+00,-5.64686157e-06,1.00000729e+00,1.49993594e+00
3.25000000e-02,1.00001324e+00,-1.70906652e-05,1.00002206e+00,1.49995810e+00
3.75000000e-02,1.00000127e+00,-1.63376725e-06,1.00000211e+00,1.49992817e+00
4.25000000e-02,9.99965502e-01,4.45379176e-05,9.99942503e-01,1.49983876e+00
4.75000000e-02,9.99979975e-01,2.58501198e-05,9.99966626e-01,1.49987495e+00
5.25000000e-02,1.00007224e+00,-9.32563962e-05,1.00012040e+00,1.50010560e+00
5.75000000e-02,1.00009198e+00,-1.18757238e-04,1.00015332e+00,1.50015498e+00
6.25000000e-02,9.99872568e-01,1.64526176e-04,9.99787633e-01,1.49960648e+00
6.75000000e-02,9.99683106e-01,4.09144167e-04,9.99471949e-01,1.49913305e+00
7.25000000e-02,1.00023673e+00,-3.05781232e-04,1.00039467e+00,1.50051702e+00
7.75000000e-02,1.00089310e+00,-1.15357071e-03,1.00148959e+00,1.50215995e+00
8.25000000e-02,9.99781978e-01,2.82356731e-04,9.99636558e-01,1.49937991e+00
8.75000000e-02,9.98539967e-01,1.88603277e-03,9.97568193e-01,1.49627925e+00
9.25000000e-02,9.98490942e-01,1.94668969e-03,9.97488854e-01,1.49616037e+00
9.75000000e-02,1.00182506e+00,-2.35513529e-03,1.00304454e+00,1.50449436e+00
1.02500000e-01,1.00357594e+00,-4.61103971e-03,1.00596929e+00,1.50888915e+00
1.07500000e-01,1.00217501e+00,-2.81239926e-03,1.00363868e+00,1.50538672e+00
1.12500000e-01,9.96198596e-01,4.91737555e-03,9.93673097e-01,1.49044717e+00
1.17500000e-01,9.93090684e-01,8.93818451e-03,9.88519497e-01,1.48274478e+00
1.22500000e-01,9.95968783e-01,5.17023000e-03,9.93329265e-01,1.48993271e+00
1.27500000e-01,1.00763695e+00,-9.80627840e-03,1.01276577e+00,1.51912116e+00
1.32500000e-01,1.01335476e+00,-1.72033161e-02,1.02238990e+00,1.53365812e+00
1.37500000e-01,1.00837606e+00,-1.08424889e-02,1.01411925e+00,1.52116210e+00
1.42500000e-01,9.88620364e-01,1.47884989e-02,9.81122685e-01,1.47171855e+00
1.47500000e-01,9.78305611e-01,2.81907783e-02,9.64194791e-01,1.44660861e+00
1.52500000e-01,9.87611540e-01,1.55775595e-02,9.79877053e-01,1.46986192e+00
1.57500000e-01,1.02640761e+00,-3.35472876e-02,1.04451701e+00,1.56727475e+00
1.62500000e-01,1.04380016e+00,-5.60358435e-02,1.07435270e+00,1.61308726e+00
1.67500000e-01,1.03208833e+00,-4.13827651e-02,1.05484423e+00,1.58307098e+00
1.72500000e-01,9.85747879e-01,1.88423532e-02,9.76359855e-01,1.46464155e+00
1.77500000e-01,9.53746737e-01,6.09689662e-02,9.24147127e-01,1.38792402e+00
1.82500000e-01,9.38643578e-01,8.07072232e-02,9.00435040e-01,1.35364203e+00
1.87500000e-01,9.90571209e-01,1.14845913e-02,9.84266251e-01,1.47639089e+00
1.92500000e-01,1.03608085e+00,-4.52016813e-02,1.06120089e+00,1.59278021e+00
1.97500000e-01,1.06177182e+00,-7.77556380e-02,1.10490872e+00,1.66048992e+00
2.02500000e-01,1.07057258e+00,-9.00591004e-02,1.12014778e+00,1.68447918e+00
2.07500000e-01,1.06792223e+00,-8.45672104e-02,1.11556938e+00,1.67708909e+00
2.12500000e-01,1.05130280e+00,-6.43579397e-02,1.08728306e+00,1.63302027e+00
2.17500000e-01,1.03744623e+00,-4.83570590e-02,1.06311553e+00,1.59580654e+00
2.22500000e-01,1.02392257e+00,-3.15328294e-02,1.04012122e+00,1.56061287e+00
2.27500000e-01,1.01092507e+00,-1.36590749e-02,1.01835259e+00,1.52754682e+00
2.32500000e-01,9.97659662e-01,3.76899747e-03,9.96125693e-01,1.49412092e+00
2.37500000e-01,9.84106400e-01,2.07448738e-02,9.73329748e-01,1.46013338e+00
2.42500000e-01,9.70642548e-01,3.79787393e-02,9.51171989e-01,1.42738667e+00
2.47500000e-01,9.57636761e-01,5.56870001e-02,9.30005848e-01,1.39642386e+00
2.52500000e-01,9.44677849e-01,7.34770794e-02,9.09113133e-01,1.36615162e+00
2.57500000e-01,9.31606926e-01,9.09682115e-02,8.88211219e-01,1.33610484e+00
2.62500000e-01,9.18528616e-01,1.08337899e-01,8.67478763e-01,1.30654352e+00
2.67500000e-01,9.05767676e-01,1.25920414e-01,8.47434597e-01,1.27826924e+00
2.72500000e-01,8.93198384e-01,1.43669944e-01,8.27900238e-01,1.25100655e+00
2.77500000e-01,8.80664952e-01,1.61368659e-01,8.08641232e-01,1.22436739e+00
2.82500000e-01,8.68166964e-01,1.78962216e-01,7.89613366e-01,1.19826343e+00
2.87500000e-01,8.55798006e-01,1.96536795e-01,7.70919701e-01,1.17285007e+00
2.92500000e-01,8.43588170e-01,2.14153906e-01,7.52615260e-01,1.14821072e+00
2.97500000e-01,8.31463654e-01,2.31741956e-01,7.34616600e-01,1.12419641e+00
3.02500000e-01,8.19381107e-01,2.49256443e-01,7.16863914e-01,1.10069568e+00
3.07500000e-01,8.07438682e-01,2.66805583e-01,6.99491077e-01,1.07792301e+00
3.12500000e-01,7.95722361e-01,2.84520534e-01,6.82633425e-01,1.05610658e+00
3.17500000e-01,7.84117937e-01,3.02316923e-01,6.66148722e-01,1.03500556e+00
3.22500000e-01,7.72558995e-01,3.20064633e-01,6.49925648e-01,1.01441073e+00
3.27500000e-01,7.61052654e-01,3.37706543e-01,6.33918313e-01,9.94227323e-01
3.32500000e-01,7.49647928e-01,3.55277865e-01,6.18149062e-01,9.74488399e-01
3.37500000e-01,7.38436227e-01,3.72891288e-01,6.02738287e-01,9.55401235e-01
3.42500000e-01,7.27402301e-01,3.90575420e-01,5.87687571e-01,9.36969587e-01
3.47500000e-01,7.16474234e-01,4.08263281e-01,5.72931305e-01,9.19064561e-01
