x,rho,vx,P,E
1.25000000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.75000000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
6.25000000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
8.75000000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
4.12500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
4.37500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
4.62500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
4.87500000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
5.12500000e-02,1.00000000e+00,6.21206193e-17,1.00000000e+00,1.49992500e+00
5.37500000e-02,1.00000000e+00,2.20641127e-16,1.00000000e+00,1.49992500e+00
5.62500000e-02,1.00000000e+00,6.19082030e-16,1.00000000e+00,1.49992500e+00
5.87500000e-02,1.00000000e+00,1.49094346e-15,1.00000000e+00,1.49992500e+00
6.12500000e-02,1.00000000e+00,3.29678592e-15,1.00000000e+00,1.49992500e+00
6.37500000e-02,1.00000000e+00,7.27264792e-15,1.00000000e+00,1.49992500e+00
6.62500000e-02,1.00000000e+00,1.55542530e-14,1.00000000e+00,1.49992500e+00
6.87500000e-02,1.00000000e+00,3.27536999e-14,1.00000000e+00,1.49992500e+00
7.12500000e-02,1.00000000e+00,6.82643869e-14,1.00000000e+00,1.49992500e+00
7.37500000e-02,1.00000000e+00,1.41134471e-13,1.00000000e+00,1.49992500e+00
7.62500000e-02,1.00000000e+00,2.89093976e-13,1.00000000e+00,1.49992500e+00
7.87500000e-02,1.00000000e+00,5.86566135e-13,1.00000000e+00,1.49992500e+00
8.12500000e-02,1.00000000e+00,1.17885649e-12,1.00000000e+00,1.49992500e+00
8.37500000e-02,1.00000000e+00,2.34714850e-12,1.00000000e+00,1.49992500e+00
8.62500000e-02,1.00000000e+00,4.62988331e-12,1.00000000e+00,1.49992500e+00
8.87500000e-02,1.00000000e+00,9.04731523e-12,1.00000000e+00,1.49992500e+00
9.12500000e-02,1.00000000e+00,1.75136831e-11,1.00000000e+00,1.49992500e+00
9.37500000e-02,1.00000000e+00,3.35845397e-11,1.00000000e+00,1.49992500e+00
9.62500000e-02,1.00000000e+00,6.37962627e-11,1.00000000e+00,1.49992500e+00
9.87500000e-02,1.00000000e+00,1.20042138e-10,1.00000000e+00,1.49992500e+00
1.01250000e-01,1.00000000e+00,2.23740166e-10,1.00000000e+00,1.49992500e+00
1.03750000e-01,1.00000000e+00,4.13062014e-10,9.99999999e-01,1.49992500e+00
1.06250000e-01,9.99999999e-01,7.55329514e-10,9.99999999e-01,1.49992500e+00
1.08750000e-01,9.99999999e-01,1.36803105e-09,9.99999998e-01,1.49992500e+00
1.11250000e-01,9.99999998e-01,2.45404261e-09,9.99999997e-01,1.49992500e+00
1.13750000e-01,9.99999997e-01,4.35996502e-09,9.99999994e-01,1.49992500e+00
1.16250000e-01,9.99999994e-01,7.67160996e-09,9.99999990e-01,1.49992499e+00
1.18750000e-01,9.99999990e-01,1.33684261e-08,9.99999983e-01,1.49992498e+00
1.21250000e-01,9.99999982e-01,2.30702197e-08,9.99999970e-01,1.49992496e+00
1.23750000e-01,9.99999969e-01,3.94264847e-08,9.99999949e-01,1.49992493e+00
1.26250000e-01,9.99999948e-01,6.67231031e-08,9.99999914e-01,1.49992487e+00
1.28750000e-01,9.99999913e-01,1.11815759e-07,9.99999856e-01,1.49992479e+00
1.31250000e-01,9.99999856e-01,1.85547420e-07,9.99999760e-01,1.49992464e+00
1.33750000e-01,9.99999764e-01,3.04872499e-07,9.99999606e-01,1.49992441e+00
1.36250000e-01,9.99999616e-01,4.95997052e-07,9.99999360e-01,1.49992404e+00
1.38750000e-01,9.99999381e-01,7.98956851e-07,9.99998969e-01,1.49992346e+00
1.41250000e-01,9.99999013e-01,1.27419711e-06,9.99998355e-01,1.49992254e+00
1.43750000e-01,9.99998442e-01,2.01189103e-06,9.99997403e-01,1.49992111e+00
1.46250000e-01,9.99997564e-01,3.14493865e-06,9.99995940e-01,1.49991891e+00
1.48750000e-01,9.99996230e-01,4.86681670e-06,9.99993717e-01,1.49991558e+00
1.51250000e-01,9.99994225e-01,7.45569319e-06,9.99990375e-01,1.49991057e+00
1.53750000e-01,9.99991242e-01,1.13064541e-05,9.99985403e-01,1.49990311e+00
1.56250000e-01,9.99986853e-01,1.69724835e-05,9.99978089e-01,1.49989214e+00
1.58750000e-01,9.99980466e-01,2.52191462e-05,9.99967442e-01,1.49987617e+00
1.61250000e-01,9.99971270e-01,3.70908852e-05,9.99952116e-01,1.49985318e+00
1.63750000e-01,9.99958178e-01,5.39935976e-05,9.99930296e-01,1.49982045e+00
1.66250000e-01,9.99939743e-01,7.77934204e-05,9.99899572e-01,1.49977437e+00
1.68750000e-01,9.99914075e-01,1.10932167e-04,9.99856794e-01,1.49971021e+00
1.71250000e-01,9.99878736e-01,1.56558369e-04,9.99797899e-01,1.49962188e+00
1.73750000e-01,9.99830627e-01,2.18671153e-04,9.99717728e-01,1.49950164e+00
1.76250000e-01,9.99765878e-01,3.02272128e-04,9.99609829e-01,1.49933982e+00
1.78750000e-01,9.99679721e-01,4.13518082e-04,9.99466265e-01,1.49912453e+00
1.81250000e-01,9.99566386e-01,5.59864925e-04,9.99277429e-01,1.49884136e+00
1.83750000e-01,9.99419003e-01,7.50191156e-04,9.99031889e-01,1.49847319e+00
1.86250000e-01,9.99229534e-01,9.94887578e-04,9.98716279e-01,1.49800001e+00
1.88750000e-01,9.98988747e-01,1.30589945e-03,9.98315253e-01,1.49739886e+00
1.91250000e-01,9.98686227e-01,1.69670801e-03,9.97811522e-01,1.49664389e+00
1.93750000e-01,9.98310456e-01,2.18224073e-03,9.97185984e-01,1.49570657e+00
1.96250000e-01,9.97848942e-01,2.77870352e-03,9.96417967e-01,1.49455607e+00
1.98750000e-01,9.97288425e-01,3.50333374e-03,9.95485563e-01,1.49315981e+00
2.01250000e-01,9.96615126e-01,4.37407895e-03,9.94366083e-01,1.49148409e+00
2.03750000e-01,9.95815061e-01,5.40921331e-03,9.93036579e-01,1.48949496e+00
2.06250000e-01,9.94874377e-01,6.62690925e-03,9.91474432e-01,1.48715914e+00
2.08750000e-01,9.93779713e-01,8.04478718e-03,9.89657972e-01,1.48444490e+00
2.11250000e-01,9.92518561e-01,9.67946832e-03,9.87567086e-01,1.48132306e+00
2.13750000e-01,9.91079592e-01,1.15461561e-02,9.85183786e-01,1.47776786e+00
2.16250000e-01,9.89452955e-01,1.36582691e-02,9.82492709e-01,1.47375767e+00
2.18750000e-01,9.87630507e-01,1.60271451e-02,9.79481503e-01,1.46927564e+00
2.21250000e-01,9.85605981e-01,1.86618277e-02,9.76141108e-01,1.46431008e+00
2.23750000e-01,9.83375082e-01,2.15689430e-02,9.72465904e-01,1.45885467e+00
2.26250000e-01,9.80935509e-01,2.47526652e-02,9.68453729e-01,1.45290847e+00
2.28750000e-01,9.78286907e-01,2.82147651e-02,9.64105787e-01,1.44647577e+00
