x,rho,vx,P,E
6.25000000e-04,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.87500000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.12500000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
4.37500000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
5.62500000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
6.87500000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
8.12500000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
9.37500000e-03,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.06250000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.18750000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.31250000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.43750000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.56250000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.68750000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.81250000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
1.93750000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.06250000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.18750000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.31250000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.43750000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.56250000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.68750000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.81250000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
2.93750000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.06250000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
3.18750000e-02,1.00000000e+00,0.00000000e+00,1.00000000e+00,1.49992500e+00
