x,rho,vx,P,E
1.25000000e-03,1.00000000e+00,-1.08667267e-13,1.00000000e+00,1.49992500e+00
3.75000000e-03,1.00000000e+00,1.01221553e-13,1.00000000e+00,1.49992500e+00
6.25000000e-03,1.00000000e+00,4.91788570e-13,1.00000000e+00,1.49992500e+00
8.75000000e-03,1.00000000e+00,-2.09835294e-13,1.00000000e+00,1.49992500e+00
1.12500000e-02,1.00000000e+00,-1.64417958e-12,1.00000000e+00,1.49992500e+00
1.37500000e-02,1.00000000e+00,4.45357633e-13,1.00000000e+00,1.49992500e+00
1.62500000e-02,1.00000000e+00,3.28516234e-12,1.00000000e+00,1.49992500e+00
1.87500000e-02,1.00000000e+00,1.97407373e-12,1.00000000e+00,1.49992500e+00
2.12500000e-02,1.00000000e+00,-1.01913943e-11,1.00000000e+00,1.49992500e+00
2.37500000e-02,1.00000000e+00,-9.80221243e-12,1.00000000e+00,1.49992500e+00
2.62500000e-02,1.00000000e+00,2.81496659e-11,1.00000000e+00,1.49992500e+00
2.87500000e-02,1.00000000e+00,3.62794346e-11,1.00000000e+00,1.49992500e+00
3.12500000e-02,1.00000000e+00,-7.00062914e-11,1.00000000e+00,1.49992500e+00
3.37500000e-02,1.00000000e+00,-1.57792731e-10,1.00000000e+00,1.49992500e+00
3.62500000e-02,1.00000000e+00,2.25116755e-10,1.00000000e+00,1.49992500e+00
3.87500000e-02,1.00000000e+00,5.82572969e-10,9.99999999e-01,1.49992500e+00
4.12500000e-02,1.00000000e+00,-6.96144949e-10,1.00000000e+00,1.49992501e+00
4.37500000e-02,1.00000000e+00,-1.55309686e-09,1.00000000e+00,1.49992501e+00
4.62500000e-02,9.99999999e-01,1.26030972e-09,9.99999998e-01,1.49992500e+00
4.87500000e-02,9.99999997e-01,3.73761761e-09,9.99999995e-01,1.49992500e+00
5.12500000e-02,1.00000000e+00,-1.36154324e-09,1.00000000e+00,1.49992501e+00
5.37500000e-02,1.00000001e+00,-1.13045553e-08,1.00000001e+00,1.49992503e+00
5.62500000e-02,1.00000000e+00,5.17139219e-10,9.99999999e-01,1.49992500e+00
5.87500000e-02,9.99999983e-01,2.14809059e-08,9.99999972e-01,1.49992496e+00
6.12500000e-02,9.99999984e-01,2.06656588e-08,9.99999973e-01,1.49992496e+00
6.37500000e-02,1.00000005e+00,-7.05206769e-08,1.00000009e+00,1.49992514e+00
6.62500000e-02,1.00000008e+00,-9.74505415e-08,1.00000013e+00,1.49992519e+00
6.87500000e-02,9.99999920e-01,1.02902104e-07,9.99999867e-01,1.49992480e+00
7.12500000e-02,9.99999825e-01,2.25821822e-07,9.99999708e-01,1.49992457e+00
7.37500000e-02,9.99999854e-01,1.88584928e-07,9.99999757e-01,1.49992464e+00
7.62500000e-02,1.00000036e+00,-4.58695991e-07,1.00000059e+00,1.49992589e+00
7.87500000e-02,1.00000066e+00,-8.46976098e-07,1.00000109e+00,1.49992664e+00
8.12500000e-02,9.99999900e-01,1.29673567e-07,9.99999833e-01,1.49992475e+00
8.37500000e-02,9.99999026e-01,1.25680311e-06,9.99998377e-01,1.49992257e+00
8.62500000e-02,9.99998486e-01,1.95514573e-06,9.99997476e-01,1.49992122e+00
8.87500000e-02,1.00000039e+00,-5.05594665e-07,1.00000065e+00,1.49992598e+00
9.12500000e-02,1.00000250e+00,-3.22867283e-06,1.00000417e+00,1.49993126e+00
9.37500000e-02,1.00000392e+00,-5.05674127e-06,1.00000653e+00,1.49993480e+00
9.62500000e-02,9.99998471e-01,1.97384634e-06,9.99997452e-01,1.49992118e+00
9.87500000e-02,9.99993240e-01,8.72743797e-06,9.99988733e-01,1.49990810e+00
1.01250000e-01,9.99991941e-01,1.04048720e-05,9.99986567e-01,1.49990486e+00
1.03750000e-01,1.00000499e+00,-6.44493256e-06,1.00000832e+00,1.49993748e+00
1.06250000e-01,1.00001493e+00,-1.92800947e-05,1.00002489e+00,1.49996234e+00
1.08750000e-01,1.00001659e+00,-2.14180191e-05,1.00002765e+00,1.49996648e+00
1.11250000e-01,9.99988562e-01,1.47662554e-05,9.99980937e-01,1.49989641e+00
1.13750000e-01,9.99967838e-01,4.15214421e-05,9.99946397e-01,1.49984460e+00
1.16250000e-01,9.99964471e-01,4.58677887e-05,9.99940786e-01,1.49983619e+00
1.18750000e-01,1.00002633e+00,-3.39956582e-05,1.00004389e+00,1.49999083e+00
1.21250000e-01,1.00007433e+00,-9.59541167e-05,1.00012388e+00,1.50011082e+00
1.23750000e-01,1.00008398e+00,-1.08423277e-04,1.00013998e+00,1.50013497e+00
1.26250000e-01,9.99936579e-01,8.18815097e-05,9.99894300e-01,1.49976646e+00
1.28750000e-01,9.99817838e-01,2.35184550e-04,9.99696414e-01,1.49946967e+00
