# k  m  h  relative_error
1  40  0.025  5.023921e-04
1  80  0.0125  1.257961e-04
1  160  0.00625  3.147471e-05
1  320  0.003125  7.871947e-06
1  640  0.0015625  1.968399e-06
1  1280  0.00078125  4.921523e-07
5  40  0.025  1.265334e-02
5  80  0.0125  3.150731e-03
5  160  0.00625  7.872319e-04
5  320  0.003125  1.968214e-04
5  640  0.0015625  4.921140e-05
5  1280  0.00078125  1.230388e-05
10  40  0.025  5.414123e-02
10  80  0.0125  1.327433e-02
10  160  0.00625  3.304163e-03
10  320  0.003125  8.253361e-04
10  640  0.0015625  2.063140e-04
10  1280  0.00078125  5.158024e-05
