# scaling Study Data
# refine  grid_size  nprocs  time_sec  newton_iters  rel_error
2  33x33  1  1.139e-02  3  8.097543e-04
2  33x33  2  1.408e-02  3  8.097543e-04
2  33x33  4  2.012e-02  3  8.097543e-04
3  65x65  1  2.223e-02  3  2.025079e-04
3  65x65  2  1.842e-02  3  2.025079e-04
3  65x65  4  3.648e-02  3  2.025079e-04
4  129x129  1  1.577e-01  3  5.064873e-05
4  129x129  2  1.455e-01  3  5.064873e-05
4  129x129  4  1.007e-01  3  5.064873e-05
5  257x257  1  7.787e-01  3  1.266573e-05
5  257x257  2  5.383e-01  3  1.266573e-05
5  257x257  4  4.185e-01  3  1.266573e-05
6  513x513  1  4.188e+00  3  3.166927e-06
6  513x513  2  2.895e+00  3  3.166927e-06
6  513x513  4  2.124e+00  3  3.166927e-06
